US Future/美國期貨,,,,,,,,"需要更多產品請聯繫客服或官網查詢
客服：https://t.me/iticksupport
官網：https://itick.org"
CBOT,YIC,3-Year Eris SOFR Swap Futures,3 年期 Eris SOFR 掉期期货,利率,17:00-16:00 (周日-周五),future,us,
CBOT,YID,4-Year Eris SOFR Swap Futures,4 年期 Eris SOFR 掉期期货,利率,17:00-16:00 (周日-周五),future,us,
CBOT,YIE,30-Year Eris SOFR Swap Futures,30 年期 Eris SOFR 掉期期货,利率,17:00-16:00 (周日-周五),future,us,
CBOT,YII,12-Year Eris SOFR Swap Futures,12 年期 Eris SOFR 掉期期货,利率,17:00-16:00 (周日-周五),future,us,
CBOT,YIL,15-Year Eris SOFR Swap Futures,15 年期 Eris SOFR 掉期期货,利率,17:00-16:00 (周日-周五),future,us,
CBOT,YIO,20-Year Eris SOFR Swap Futures,20 年期 Eris SOFR 掉期期货,利率,17:00-16:00 (周日-周五),future,us,
CBOT,YIW,5-Year Eris SOFR Swap Futures,5 年期 Eris SOFR 掉期期货,利率,17:00-16:00 (周日-周五),future,us,
CBOT,Z3N,3-Year T-Note Futures,3年期国债期货,利率,17:00-16:00 (周日-周五),future,us,
NYMEX,CL,Crude Oil Futures,原油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,NG,Henry Hub Natural Gas Futures,亨利中心天然气期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,RB,RBOB Gasoline Futures,RBOB 汽油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TTF,Dutch TTF Natural Gas Calendar Month Futures,荷兰 TTF 天然气历月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JKM,LNG Japan/Korea Marker (Platts) Futures,液化天然气日本/韩国标记（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HH,Natural Gas (Henry Hub) Last-day Financial Futures,天然气（亨利港）最后一天金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HO,NY Harbor ULSD Futures,纽约港 ULSD 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,1S,Propane Non-LDH Mont Belvieu (OPIS) BALMO Futures,丙烷非 LDH Mont Belvieu (OPIS) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TD3,Freight Route Middle East to China (TD3C) (Platts) Futures,中东至中国货运路线 (TD3C)（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,BZ,Brent Last Day Financial Futures,布伦特最后一天金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,QG,E-mini Natural Gas Futures,E-迷你天然气期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,ABY,WTI-Brent Bullet Futures,WTI-布伦特子弹期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,WTI,WTI Midland (Argus) Trade Month Futures,WTI 米德兰（阿格斯）交易月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,CU,Chicago Ethanol (Platts) Futures,芝加哥乙醇（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,QM,E-mini Crude Oil Futures,E-迷你原油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,AD8,PJM ComEd Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,PJM ComEd 区 5 兆瓦峰值历月日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,AVK,New York Harbor 1.0% Fuel Oil (Platts) BALMO Futures,纽约港 1.0% 燃料油（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,MNG,Micro Henry Hub Natural Gas Futures,微型亨利中心天然气期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A50,PJM PENELEC Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,PJM PENELEC 区域非高峰日历月日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A9N,Argus Propane (Saudi Aramco) Futures,阿格斯丙烷（沙特阿美）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,BZL,Brent Crude Oil London Trade at Marker Futures,布伦特原油伦敦市场期货交易,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,DCB,Dubai Crude Oil (Platts) Financial Futures,迪拜原油（普氏）金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,POC,PJM PENELEC Zone Off-Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM PENELEC 区域非高峰日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,TL,Freight Route Middle East to China (TD3C) (Baltic) Futures,中东至中国货运航线（TD3C）（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,WDB,WTI Houston (Argus) vs. Dubai (Platts) Calendar Month Futures,WTI 休斯顿 (Argus) 与迪拜 (Platts) 日历月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,88,1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,1% 燃油货物 FOB NWE（普氏能源资讯）与 3.5% 燃油驳船 FOB Rdam（普氏能源资讯） BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,ABI,Dubai Crude Oil (Platts) BALMO Futures,迪拜原油（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,AD9,PJM ComEd Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,PJM ComEd 区 5 兆瓦非高峰历月日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,AGA,Singapore Gasoil (Platts) vs. Low Sulphur Gasoil Futures,新加坡柴油（普氏）与低硫柴油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,AI1,ERCOT Houston 345 kV Hub 5 MW Peak Futures,ERCOT 休斯顿 345 kV 中心 5 MW 峰值期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,AI9,ERCOT South 345 kV Hub 5 MW Peak Futures,ERCOT South 345 kV Hub 5 MW 峰值期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,AL1,PJM Western Hub Peak Calendar-Month Real-Time LMP Futures,PJM Western Hub 日历月实时 LMP 峰值期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,ANT,Argus WTI Diff vs. CMA NYMEX Trade Month Futures,阿格斯 WTI 与 CMA NYMEX 交易月期货差价,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,AR3,PJM BGE Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,PJM BGE 区域非高峰日历月日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,AU2,ISO New England New Hampshire Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,ISO 新英格兰新罕布什尔州地区 5 兆瓦峰值日历月日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,CMB,3.5% Fuel Oil CIF Med (Platts) vs. 3.5% Fuel Oil FOB Med (Platts) BALMO Futures,3.5% 燃油 CIF Med（普氏）与 3.5% 燃油 FOB Med（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,CS5,Container Freight (North Europe to China/East Asia) (FBX12) (Baltic) Futures,集装箱货运（北欧至中国/东亚）（FBX12）（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,DAX,CAISO SP15 EZ Gen Hub 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,CAISO SP15 EZ Gen Hub 5 MW 非高峰日历月日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,DCW,WTI vs. Dubai Crude Oil (Platts) Futures,WTI 与迪拜原油（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FEF,Alberta Power Pool Extended Off-Peak Calendar-Month Futures,艾伯塔省电力池延长非高峰日历月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FL,3.5% Fuel Oil Cargoes FOB MED (Platts) Crack Spread Futures,3.5% Fuel Oil Cargoes FOB MED (Platts) Crack Spread Futures,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GCC,Gulf Coast Unl 87 Gasoline M2 (Platts) Crack Spread Futures,墨西哥湾沿岸 Unl 87 汽油 M2（普氏）裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HGB,USGC Marine Fuel 0.5% Barges (Platts) vs. Gulf Coast HSFO (Platts) BALMO Futures,USGC 船用燃料 0.5% 驳船 (Platts) 与墨西哥湾沿岸 HSFO (Platts) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JBT,Japanese Power (Day-Ahead) Tokyo Base-Load Futures,日本电力（日前）东京基本负荷期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JCY,Japan Crude Cocktail (Detailed) JPY Futures,日本原油鸡尾酒（详细）日元期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,MAS,Mini Argus Propane (Saudi Aramco) Futures,迷你阿格斯丙烷（沙特阿美）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,MH,Los Angeles CARBOB Gasoline (OPIS) Futures,洛杉矶 CARBOB 汽油 (OPIS) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,MTF,Coal (API2) CIF ARA (ARGUS-McCloskey) Futures,煤炭 (API2) CIF ARA (ARGUS-McCloskey) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,NBO,Gasoline Eurobob Non-Oxy NWE Barges (Argus) Crack Spread (1000mt) Futures,汽油 Eurobob 无氧 NWE 驳船（阿格斯）裂解价差（1000 吨）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,NWM,LNG North West Europe Marker (Platts) Futures,液化天然气西北欧市场标记（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,POL,PJM Northern Illinois Hub Day-Ahead Off-Peak Calendar-Day 5 MW Futures,PJM 北伊利诺伊州枢纽日前非高峰日历日 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,PYP,PJM Eastern Hub Peak Calendar-Day 5 MW Day-Ahead LMP Futures,PJM Eastern Hub 峰值日历日 5 兆瓦日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,RBL,RBOB Gasoline London Trade at Marker Futures,Marker 期货的 RBOB 汽油伦敦交易,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SD,Singapore Fuel Oil 180 cst (Platts) vs. 380 cst (Platts) Futures,新加坡燃料油 180 cst（普氏）与 380 cst（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SGB,Singapore Gasoil (Platts) Futures,新加坡柴油（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,SRT,PJM Western Hub Real-Time Peak Average Price Monthly Futures 5 MW,PJM Western Hub 实时峰值平均价格每月期货 5 MW,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,THB,Freight Middle East to Japan (TC5) (Platts) BALMO Futures,中东至日本货运 (TC5) (普氏能源资讯) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UCO,Gulf Coast UCO (Argus) Futures,墨西哥湾沿岸 UCO（阿格斯）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,UN,European Naphtha Cargoes CIF NWE (Platts) Futures,欧洲石脑油货物 CIF NWE（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,WS,Crude Oil Bullet Futures,原油子弹期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,1E,RBOB Gasoline Crack Spread BALMO Futures,RBOB 汽油裂解价差 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,1H,NY Harbor ULSD Crack Spread BALMO Futures,纽约港 ULSD 裂解价差 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,1NA,Singapore Mogas 92 Unleaded (Platts) Dubai (Platts) Crack Spread Futures,新加坡 Mogas 92 无铅（普氏）迪拜（普氏）裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,1NM,MTBE FOB Singapore (Platts) Futures,MTBE FOB 新加坡（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,1T,Jet Aviation Fuel Cargoes FOB MED (Platts) Futures,喷气航空燃油货物 FOB MED (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,1ZA,CAISO SP15 EZ Gen Hub 5 MW Peak Calendar-Month Real-Time LMP Futures,CAISO SP15 EZ Gen Hub 5 MW 峰值日历月实时 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,22,Argus Propane Far East Index BALMO Futures,阿格斯丙烷远东指数 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,23,NY Harbor ULSD Last Day Financial Futures,纽约港 ULSD 最后一天金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,26,Crude Oil Last Day Financial Futures,原油最后一天金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,27,RBOB Gasoline Last Day Financial Futures,RBOB 汽油最后一天金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,2C,Chicago CBOB Gasoline (Platts) Futures,芝加哥 CBOB 汽油（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,2D,CAISO NP15 EZ Gen Hub 5 MW Off-Peak Calendar-Month Real-Time LMP Futures,CAISO NP15 EZ Gen Hub 5 兆瓦非高峰日历月实时 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,2FW,CAISO NP15 EZ Gen Hub 5 MW Peak Calendar-Day Real-Time LMP Futures,CAISO NP15 EZ Gen Hub 5 MW 峰值日历日实时 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,2JW,CAISO NP15 EZ Gen Hub 5 MW Off-Peak Calendar-Day Real-Time LMP Futures,CAISO NP15 EZ Gen Hub 5 MW 非高峰日历日实时 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,2ZW,CAISO NP15 EZ Gen Hub 5 MW Off-Peak Calendar-Day Day-Ahead LMP Futures,CAISO NP15 EZ Gen Hub 5 兆瓦非高峰历日提前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,3L,Mont Belvieu Physical Iso-Butane (OPIS) Futures,Mont Belvieu 实物异丁烷 (OPIS) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,3NA,Argus Propane Far East Index vs. Japan C&F Naphtha (Platts) Futures,阿格斯丙烷远东指数与日本 C&F 石脑油 (Platts) 期货对比,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,3NB,Argus Propane Far East Index vs. Japan C&F Naphtha (Platts) BALMO Futures,阿格斯丙烷远东指数与日本 C&F 石脑油（普氏）BALMO 期货对比,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,3P,Mont Belvieu Physical Non-LDH Propane (OPIS) Futures,Mont Belvieu 实物非 LDH 丙烷 (OPIS) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,3V,ULSD 10ppm Cargoes CIF NWE (Platts) vs. Low Sulphur Gasoil BALMO Futures,ULSD 10ppm 货物 CIF NWE（普氏）与低硫柴油 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,3XW,CAISO NP15 EZ Gen Hub 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,CAISO NP15 EZ Gen Hub 5 兆瓦非高峰日历月日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,3ZW,CAISO NP15 EZ Gen Hub 5 MW Peak Calendar-Day Day-Ahead LMP Futures,CAISO NP15 EZ Gen Hub 5 MW 峰值日历日日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,4C,Chicago ULSD (Platts) Futures,芝加哥 ULSD（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,4V,Gasoil 0.1% Cargoes CIF NWE (Platts) vs. Low Sulphur Gasoil BALMO Futures,0.1% 柴油到岸价格 NWE（普氏能源资讯）与低硫柴油 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,4XW,CAISO NP15 EZ Gen Hub 5 MW Peak Calendar-Month Day-Ahead LMP Futures,CAISO NP15 EZ Gen Hub 5 MW 峰值日历月日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,51,Mont Belvieu LDH Propane (OPIS) vs. European Propane CIF ARA (Argus) Futures,Mont Belvieu LDH 丙烷 (OPIS) 与欧洲丙烷 CIF ARA (阿格斯) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,5L,Mini Singapore Fuel Oil 180 cst (Platts) BALMO Futures,迷你新加坡燃料油 180 cst（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,5Y,NY ULSD (Argus) Futures,纽约 ULSD（阿格斯）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,63,3.5% Fuel Oil Cargoes FOB MED (Platts) vs. 3.5% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,3.5% 燃油货物 FOB MED（普氏）与 3.5% 燃油驳船 FOB Rdam（普氏） BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,7D,3.5% Fuel Oil CIF MED (Platts) Futures,3.5% 燃料油 CIF MED（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,7F,European Low Sulphur Gasoil (100mt) Bullet Futures,欧洲低硫柴油（100吨）子弹期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,7N,Premium Unleaded Gasoline 10 ppm Barges FOB Rdam (Platts) BALMO Futures,优质无铅汽油 10 ppm 驳船 FOB Rdam (Platts) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,7V,ULSD 10ppm CIF MED (Platts) vs. Low Sulphur Gasoil BALMO Futures,ULSD 10ppm CIF MED（普氏）与低硫柴油 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,7X,Diesel 10ppm Barges FOB ARA (Platts) vs. Low Sulphur Gasoil BALMO Futures,10ppm 柴油驳船 FOB ARA（普氏）与低硫柴油 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,8D,3.5% Fuel Oil CIF MED (Platts) BALMO Futures,3.5% 燃料油 CIF MED（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,8W,Gasoil 0.1% Cargoes CIF MED (Platts) vs. Low Sulphur Gasoil BALMO Futures,0.1% 柴油到岸价格 MED（普氏能源资讯）与低硫柴油 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,9Q,Jet Fuel Barges FOB Rdam (Platts) vs. Low Sulphur Gasoil BALMO Futures,航空燃油驳船 FOB Rdam（普氏能源资讯）与低硫柴油 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A0D,Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,小型欧洲 3.5% 燃油驳船 FOB Rdam (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A0F,Mini Singapore Fuel Oil 180 cst (Platts) Futures,小型新加坡燃料油 180 cst（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A1D,RBOB Gasoline BALMO Futures,RBOB 汽油 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A1G,NY Harbor ULSD BALMO Futures,纽约港 ULSD BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A1L,Gulf Coast ULSD (Platts) Up-Down BALMO Futures,墨西哥湾沿岸 ULSD（普氏）上下 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A1M,Gulf Coast Jet (Platts) Up-Down BALMO Futures,Gulf Coast Jet (Platts) 上下 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A1P,Singapore Mogas 92 Unleaded (Platts) BALMO Futures,新加坡 Mogas 92 无铅（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A1Q,NY Jet Fuel (Platts) Futures,纽约航空燃油（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A1R,Propane Non-LDH Mont Belvieu (OPIS) Futures,丙烷非 LDH Mont Belvieu (OPIS) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A1U,NY Jet Fuel (Platts) vs. NY Harbor ULSD Futures,纽约航空燃油（普氏）与纽约港 ULSD 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A1V,Jet Aviation Fuel Cargoes FOB MED (Platts) vs. Low Sulphur Gasoil Futures,喷气航空燃油货物 FOB MED（普氏）与低硫柴油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A1W,1% Fuel Oil Cargoes CIF MED (Platts) Futures,1% 燃油货物 CIF MED（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A1X,1% Fuel Oil Cargoes CIF NWE (Platts) Futures,1% 燃油货物 CIF NWE（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A32,European Propane CIF ARA (Argus) BALMO Futures,欧洲丙烷 CIF ARA（阿格斯）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A33,1% Fuel Oil Rdam (Platts) vs. 1% Fuel Oil NWE (Platts) Futures,1% 燃油 Rdam（普氏）与 1% 燃油 NWE（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A3C,Chicago CBOB Gasoline (Platts) vs. RBOB Gasoline Futures,芝加哥 CBOB 汽油（普氏）与 RBOB 汽油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A3G,Premium Unleaded Gasoline 10 ppm FOB MED (Platts) Futures,优质无铅汽油 10 ppm FOB MED (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A3M,Mont Belvieu Physical Normal Butane (OPIS) Futures,Mont Belvieu 实物普通丁烷 (OPIS) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A3N,Mont Belvieu Physical LDH Propane (OPIS) Futures,Mont Belvieu 实物 LDH 丙烷 (OPIS) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A3Q,Mont Belvieu Physical Ethane (OPIS) Futures,Mont Belvieu 物理乙烷 (OPIS) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A3R,Mont Belvieu Physical Natural Gasoline (OPIS) Futures,Mont Belvieu 实物天然气 (OPIS) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A42,WTI BALMO Futures,WTI 巴尔莫期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A43,European Naphtha (Platts) Crack Spread BALMO Futures,欧洲石脑油（普氏）裂解价差 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A46,PJM METED Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,PJM METED 区域非高峰日历月份日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A47,PJM METED Zone Peak Calendar-Month Day-Ahead LMP Futures,PJM METED 区域峰值日历月份日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A49,PJM PENELEC Zone Peak Calendar-Month Day-Ahead LMP Futures,PJM PENELEC 区域峰值日历月日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A4L,NYISO Zone F 5 MW Peak Calendar-Month Day-Ahead LBMP Futures,NYISO F 区 5 兆瓦峰值日历月日前 LBMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A4M,NYISO Zone F 5 MW Off-Peak Calendar-Month Day-Ahead LBMP Futures,NYISO F 区 5 兆瓦非高峰历月日前 LBMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A4N,PJM PECO Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,PJM PECO 区域 5 兆瓦峰值日历月日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A4P,PJM PECO Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,PJM PECO 区 5 兆瓦非高峰日历月日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A4Q,MISO Illinois Hub 5 MW Peak Calendar-Month Day-Ahead Futures,MISO 伊利诺伊州中心 5 兆瓦峰值历月日前期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A4R,MISO Illinois Hub 5 MW Off-Peak Calendar-Month Day-Ahead Futures,MISO 伊利诺伊州中心 5 兆瓦非高峰历月日前期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A55,NYISO Zone E 5 MW Peak Calendar-Month Day-Ahead LBMP Futures,NYISO E 区 5 兆瓦峰值日历月日前 LBMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A58,NYISO Zone E 5 MW Off-Peak Calendar-Month Day-Ahead LBMP Futures,NYISO E 区 5 兆瓦非高峰历月日前 LBMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A59,Dated Brent (Platts) vs. Brent Second Month (BFOE) (Platts) Daily CFD Futures,即期布伦特原油 (Platts) 与布伦特二月合约 (BFOE) (Platts) 每日差价合约期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A5C,Chicago ULSD (Platts) vs. NY Harbor ULSD Futures,芝加哥 ULSD（普氏能源资讯）与纽约港 ULSD 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A6L,European 1% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,欧洲 1% 燃油驳船 FOB Rdam (Platts) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A6V,Gasoil 0.1% Barges FOB ARA (Platts) vs. Low Sulphur Gasoil BALMO Futures,0.1% 柴油驳船 FOB ARA（普氏）与低硫柴油 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A6W,Dated Brent (Platts) vs. Brent First Month (BFOE) (Platts) Daily CFD Future,即期布伦特原油 (Platts) 与布伦特第一个月 (BFOE) (Platts) 每日差价合约期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A6X,Jet Fuel Cargoes CIF NWE (Platts) vs. Low Sulphur Gasoil BALMO Futures,航空燃油货物 CIF NWE（普氏）与低硫柴油 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A7E,Argus Propane Far East Index Futures,阿格斯丙烷远东指数期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A7G,Dated Brent (Platts) Daily Futures,即期布伦特（普氏）每日期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A7I,Gasoline Euro-bob Oxy NWE Barges (Argus) Crack Spread BALMO Futures,汽油 Euro-bob Oxy NWE 驳船（阿格斯）裂解价差 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A7L,Premium Unleaded Gasoline 10 ppm Barges FOB Rdam (Platts) Futures,优质无铅汽油 10 ppm 驳船 FOB Rdam (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A7Q,Mont Belvieu Natural Gasoline (OPIS) Futures,Mont Belvieu 天然气 (OPIS) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A7Y,NY ULSD (Argus) vs. NY Harbor ULSD Futures,纽约 ULSD（阿格斯）与纽约港 ULSD 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,A81,Mont Belvieu Mini LDH Propane (OPIS) Futures,Mont Belvieu 迷你 LDH 丙烷 (OPIS) 期货,能源,17:00-16:00 (周日-周五),future,us,
